HR,SBP,DBP,MAP,CO,SV,CVP,RR,SpO2,Scenario,Alarm
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
0,125.89999999999993,79.59999999999997,95.0,0.0,10.4,10.4,0,0,Arrest,CARDIAC ARREST
75,121,81,94.3,5.22,69.6,7.9,17,98,Healthy,NORMAL
76,122,80,94.0,5.28,69.5,7.8,16,98,Healthy,NORMAL
75,123,79,93.7,5.21,69.4,7.9,16,98,Healthy,NORMAL
76,124,80,94.7,5.3,69.7,7.9,15,97,Healthy,NORMAL
76,124,80,94.7,5.31,69.8,8.1,16,98,Healthy,NORMAL
77,124,80,94.7,5.37,69.8,8.0,15,99,Healthy,NORMAL
77,123,79,93.7,5.36,69.6,8.1,16,99,Healthy,NORMAL
78,122,80,94.0,5.45,69.8,8.2,15,99,Healthy,NORMAL
77,123,80,94.3,5.4,70.2,8.2,14,99,Healthy,NORMAL
76,124,79,94.0,5.37,70.7,8.2,13,99,Healthy,NORMAL
77,125,80,95.0,5.42,70.3,8.1,13,99,Healthy,NORMAL
77,125,81,95.7,5.4,70.2,8.2,14,98,Healthy,NORMAL
78,124,82,96.0,5.44,69.7,8.3,14,98,Healthy,NORMAL
79,123,81,95.0,5.47,69.3,8.3,14,98,Healthy,NORMAL
78,122,80,94.0,5.42,69.5,8.4,15,97,Healthy,NORMAL
79,121,79,93.0,5.48,69.4,8.5,15,96,Healthy,NORMAL
80,121,80,93.7,5.53,69.2,8.5,16,95,Healthy,NORMAL
79,121,79,93.0,5.43,68.7,8.5,17,95,Healthy,NORMAL
80,121,79,93.0,5.49,68.7,8.5,18,94,Healthy,NORMAL
79,121,79,93.0,5.41,68.5,8.5,17,94,Healthy,NORMAL
78,122,80,94.0,5.37,68.8,8.4,17,94,Healthy,NORMAL
79,121,80,93.7,5.4,68.4,8.5,17,94,Healthy,NORMAL
79,121,79,93.0,5.43,68.8,8.6,18,93,Healthy,NORMAL
79,122,79,93.3,5.42,68.6,8.6,17,94,Healthy,NORMAL
80,123,79,93.7,5.45,68.1,8.4,17,93,Healthy,NORMAL
81,123,80,94.3,5.49,67.8,8.3,18,93,Healthy,NORMAL
81,124,79,94.0,5.47,67.6,8.2,19,92,Healthy,NORMAL
80,125,79,94.3,5.42,67.7,8.4,20,91,Healthy,NORMAL
81,125,79,94.3,5.49,67.8,8.4,19,90,Healthy,NORMAL
82,125,80,95.0,5.54,67.6,8.3,20,91,Healthy,NORMAL
83,126,80,95.3,5.62,67.7,8.2,20,92,Healthy,NORMAL
82,127,81,96.3,5.51,67.2,8.3,20,92,Healthy,NORMAL
81,127,82,97.0,5.47,67.6,8.4,20,91,Healthy,NORMAL
80,128,83,98.0,5.42,67.7,8.4,20,91,Healthy,NORMAL
81,127,84,98.3,5.51,68.0,8.2,19,92,Healthy,NORMAL
80,126,84,98.0,5.44,68.0,8.4,18,92,Healthy,NORMAL
80,125,85,98.3,5.41,67.6,8.2,19,92,Healthy,NORMAL
79,125,84,97.7,5.33,67.5,8.0,20,92,Healthy,NORMAL
78,126,83,97.3,5.23,67.0,7.8,19,91,Healthy,NORMAL
78,127,82,97.0,5.21,66.8,7.8,20,92,Healthy,NORMAL
78,128,83,98.0,5.2,66.6,7.8,19,92,Healthy,NORMAL
79,129,83,98.3,5.25,66.4,7.8,19,91,Healthy,NORMAL
80,130,82,98.0,5.29,66.2,7.8,18,91,Healthy,NORMAL
81,130,83,98.7,5.36,66.1,7.7,17,91,Healthy,NORMAL
82,130,84,99.3,5.42,66.1,7.6,16,91,Healthy,NORMAL
82,129,84,99.0,5.44,66.3,7.4,16,92,Healthy,NORMAL
82,130,84,99.3,5.44,66.3,7.3,15,92,Healthy,NORMAL
83,129,85,99.7,5.53,66.6,7.3,14,91,Healthy,NORMAL
84,129,85,99.7,5.57,66.3,7.4,13,90,Healthy,NORMAL
84,129,84,99.0,5.59,66.5,7.4,13,91,Healthy,NORMAL
84,129,85,99.7,5.56,66.2,7.4,13,91,Healthy,NORMAL
85,130,84,99.3,5.65,66.5,7.6,13,91,Healthy,NORMAL
84,129,84,99.0,5.56,66.1,7.7,12,91,Healthy,NORMAL
83,128,85,99.3,5.51,66.4,7.8,12,90,Healthy,NORMAL
83,129,86,100.3,5.51,66.4,7.9,11,91,Healthy,NORMAL
83,128,86,100.0,5.53,66.7,7.8,12,92,Healthy,NORMAL
83,127,86,99.7,5.54,66.7,7.9,12,91,Healthy,NORMAL
84,126,86,99.3,5.61,66.8,7.9,12,91,Healthy,NORMAL
85,126,86,99.3,5.69,67.0,8.0,13,90,Healthy,NORMAL
86,127,86,99.7,5.75,66.8,8.1,14,91,Healthy,NORMAL
85,127,85,99.0,5.71,67.2,8.2,14,91,Healthy,NORMAL
85,128,86,100.0,5.71,67.1,8.3,14,92,Healthy,NORMAL
85,128,87,100.7,5.72,67.3,8.3,13,92,Healthy,NORMAL
84,129,88,101.7,5.63,67.0,8.2,13,93,Healthy,NORMAL
84,128,87,100.7,5.63,67.1,8.1,13,93,Healthy,NORMAL
84,127,86,99.7,5.67,67.5,8.2,12,92,Healthy,NORMAL
85,128,85,99.3,5.73,67.4,8.3,13,92,Healthy,NORMAL
84,127,85,99.0,5.71,67.9,8.1,12,92,Healthy,NORMAL
84,128,84,98.7,5.71,67.9,8.0,11,92,Healthy,NORMAL
85,127,85,99.0,5.77,67.8,8.2,11,91,Healthy,NORMAL
86,127,84,98.3,5.87,68.2,8.0,10,90,Healthy,NORMAL
87,127,84,98.3,5.96,68.6,7.9,9,89,Healthy,LOW SAT
88,127,85,99.0,6.01,68.3,7.9,10,90,Healthy,NORMAL
89,128,84,98.7,6.06,68.1,7.8,11,91,Healthy,NORMAL
88,128,83,98.0,5.96,67.8,7.7,10,90,Healthy,NORMAL
89,128,83,98.0,6.06,68.1,7.7,9,90,Healthy,NORMAL
90,127,84,98.3,6.17,68.6,7.9,9,91,Healthy,NORMAL
90,128,85,99.3,6.15,68.3,8.0,9,92,Healthy,NORMAL
89,128,84,98.7,6.04,67.9,7.9,8,92,Healthy,NORMAL
88,129,84,99.0,5.97,67.9,8.1,7,92,Healthy,NORMAL
88,129,84,99.0,5.99,68.0,8.1,6,92,Healthy,NORMAL
87,130,84,99.3,5.94,68.3,8.3,5,92,Healthy,NORMAL
87,130,83,98.7,5.91,67.9,8.3,5,92,Healthy,NORMAL
87,130,84,99.3,5.93,68.2,8.2,4,92,Healthy,NORMAL
86,131,83,99.0,5.89,68.5,8.3,5,91,Healthy,NORMAL
87,132,83,99.3,5.94,68.3,8.3,4,92,Healthy,NORMAL
86,133,83,99.7,5.85,68.0,8.4,3,93,Healthy,NORMAL
85,132,82,98.7,5.77,67.8,8.3,2,94,Healthy,NORMAL
85,131,83,99.0,5.75,67.6,8.5,1,94,Healthy,NORMAL
84,132,84,100.0,5.66,67.4,8.6,1,94,Healthy,NORMAL
84,131,84,99.7,5.7,67.8,8.6,0,93,Healthy,NORMAL
84,132,83,99.3,5.68,67.6,8.7,1,93,Healthy,NORMAL
83,131,83,99.0,5.65,68.0,8.7,1,93,Healthy,NORMAL
82,132,83,99.3,5.55,67.7,8.8,1,93,Healthy,NORMAL
82,133,83,99.7,5.53,67.5,8.9,1,94,Healthy,NORMAL
83,134,83,100.0,5.6,67.5,8.8,1,94,Healthy,NORMAL
83,133,82,99.0,5.64,67.9,9.0,1,94,Healthy,NORMAL
83,132,83,99.3,5.65,68.1,9.0,0,93,Healthy,NORMAL
83,131,82,98.3,5.65,68.1,8.9,0,94,Healthy,NORMAL
83,132,81,98.0,5.64,68.0,8.9,0,94,Healthy,NORMAL
83,132,80,97.3,5.64,67.9,9.0,0,94,Healthy,NORMAL
84,131,80,97.0,5.69,67.7,9.2,0,93,Healthy,NORMAL
85,132,81,98.0,5.73,67.4,9.3,0,93,Healthy,NORMAL
84,131,82,98.3,5.7,67.8,9.3,1,93,Healthy,NORMAL
84,132,81,98.0,5.71,67.9,9.3,2,93,Healthy,NORMAL
83,133,80,97.7,5.67,68.4,9.3,1,94,Healthy,NORMAL
84,132,80,97.3,5.71,68.0,9.5,0,95,Healthy,NORMAL
84,132,81,98.0,5.68,67.7,9.6,1,95,Healthy,NORMAL
84,131,80,97.0,5.66,67.4,9.8,0,95,Healthy,NORMAL
85,131,81,97.7,5.71,67.2,9.9,1,96,Healthy,NORMAL
84,130,82,98.0,5.68,67.6,10.1,1,96,Healthy,NORMAL
83,129,81,97.0,5.65,68.0,10.0,2,95,Healthy,NORMAL
82,128,82,97.3,5.58,68.0,10.0,3,96,Healthy,NORMAL
83,127,81,96.3,5.67,68.3,10.0,4,95,Healthy,NORMAL
83,127,80,95.7,5.66,68.2,9.9,4,94,Healthy,NORMAL
83,128,81,96.7,5.63,67.8,9.9,4,94,Healthy,NORMAL
82,127,80,95.7,5.55,67.7,9.8,3,94,Healthy,NORMAL
83,126,80,95.3,5.63,67.9,9.7,4,94,Healthy,NORMAL
82,127,81,96.3,5.59,68.2,9.5,3,94,Healthy,NORMAL
81,127,81,96.3,5.54,68.4,9.5,2,94,Healthy,NORMAL
82,126,82,96.7,5.58,68.1,9.4,3,94,Healthy,NORMAL
81,125,82,96.3,5.54,68.4,9.5,4,95,Healthy,NORMAL
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
0,0,0,0.0,0.0,0,0,0,0,Arrest,CARDIAC ARREST
